artifact,configuration_id,position_mask,operation,control,alpha,n_eligible,n_scenarios,mean_target_logodds_gain,gain_ci_low,gain_ci_high,positive_gain_fraction,target_top1_fraction,mean_output_kl_nats,mean_delta_rms_ratio,median_condition_number,high_cosine_fraction,maximum_absolute_cosine,minimum_function_effect,positive_function_count,layers,layer
layer_sweep,layer_38,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.774621212121213,9.040317234848485,14.852130681818178,1.0,0.7878787878787878,5.076688267967918,0.10837926749478635,1.7953482866287231,0.0,0.588131785392761,8.215277777777779,3,[38],38
layer_sweep,layer_39,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.553977272727273,8.809517045454546,14.661245265151514,1.0,0.7272727272727273,4.925496031840642,0.1338938637213269,1.7489029169082642,0.0,0.5625426173210141,8.17361111111111,3,[39],39
layer_sweep,layer_40,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.535037878787879,8.720265151515152,14.78283617424242,1.0,0.7272727272727273,4.8955001560124485,0.1266399472951884,1.637488722801208,0.0,0.529918313026428,8.402777777777779,3,[40],40
layer_sweep,layer_41,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.477272727272727,8.633451704545454,14.741619318181815,1.0,0.696969696969697,4.763595569314378,0.12131832291682518,1.628148436546325,0.0,0.522739887237548,8.322916666666666,3,[41],41
layer_sweep,layer_42,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.547348477623679,8.730942205768644,14.78809184901641,1.0,0.7272727272727273,4.813836576360645,0.10940326953476072,1.6027100086212152,0.0,0.506779193878173,8.317708333333334,3,[42],42
layer_sweep,layer_43,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.398674242424242,8.67327178030303,14.61725852272727,1.0,0.7272727272727273,4.741176716305993,0.10436461346619007,1.620604395866394,0.0,0.509735107421875,8.208333333333334,3,[43],43
layer_sweep,layer_44,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.264204545454545,8.509469696969697,14.515553977272724,1.0,0.6666666666666666,4.683521744879809,0.09917392344637309,1.6398452520370481,0.0,0.519355297088623,8.109375,3,[44],44
layer_sweep,layer_45,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.169507575757576,8.41444128787879,14.437784090909089,1.0,0.6666666666666666,4.630911855083523,0.09426052405527091,1.612765789031982,0.0,0.505016028881073,7.953125,3,[45],45
layer_sweep,layer_46,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,11.006628787878787,8.258309659090909,14.232078598484847,1.0,0.6363636363636364,4.456256954055844,0.09103055941787581,1.569211721420288,0.0,0.483028918504714,7.8125,3,[46],46
layer_sweep,layer_47,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,10.767045454545455,8.02523674242424,13.960653409090908,1.0,0.6363636363636364,4.244910646117095,0.09068678240432831,1.5701541900634761,0.0,0.48116219043731606,7.619791666666667,3,[47],47
layer_sweep,layer_48,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,10.291666666666666,7.489464962121213,13.484327651515148,1.0,0.6060606060606061,3.9975708878853102,0.09485623229182076,1.593464374542236,0.0,0.49493795633316,7.166666666666667,3,[48],48
layer_sweep,layer_49,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,9.266098481236082,6.619294503692426,12.25833333333333,1.0,0.45454545454545453,3.371530762563149,0.10308933325789148,1.584265947341919,0.0,0.49699383974075306,6.192708333333333,3,[49],49
layer_sweep,layer_50,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,8.726325753963355,6.240364579811241,11.476562499909688,1.0,0.3939393939393939,3.084458908179041,0.09617099109472604,1.5529416799545281,0.0,0.480912387371063,5.630208333333333,3,[50],50
layer_sweep,layer_51,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,7.980113632751234,5.948768935871848,10.41995738284154,1.0,0.3333333333333333,2.3660614073953847,0.1068770063645908,1.510724544525146,0.0,0.45010143518447804,5.546875,3,[51],51
layer_sweep,layer_52,all_prompt_positions,pseudoinverse_coordinate_swap,semantic,1.0,33,11,6.569128784266385,5.138328594872446,8.095691284176075,1.0,0.21212121212121213,1.393497386326392,0.11718715095158733,1.5450682640075681,0.0,0.48352444171905506,4.75,3,[52],52
